"CODE","SHORTDESCRIPTION"
"030374","Mackerel, frozen, whole"
"030375","Dogfish and other sharks, frozen, whole"
"030376","Eels, frozen, whole"
"030377","Sea bass, frozen, whole"
"030378","Hake, frozen, whole"
"030379","Fish nes, frozen, whole"
"030380","Fish livers and roes, frozen"
"030410","Fish fillet or meat, fresh or chilled, not liver, roe"
"030420","Fish fillets, frozen"
"030490","Fish meat & mince, except liver, roe & fillets, froze"
"030510","Flours, meals & pellets of fish for human consumption"
"030520","Livers and roes, dried, smoked, salted or in brine"
"030530","Fish fillets, dried, salted or in brine, not smoked"
"030541","Salmon, smoked, including fillets"
"030542","Herrings, smoked, including fillets"
"030549","Smoked fish & fillets other than herrings or salmon"
"030551","Cod dried, whether or not salted but not smoked"
"030559","Dried fish, other than cod, not smoked"
"030561","Herrings, salted or in brine, not dried or smoked"
"030562","Cod, salted or in brine, not dried or smoked"
"030563","Anchovies, salted or in brine, not dried or smoked"
"030569","Fish nes, salted or in brine, not dried or smoked"
"030611","Rock lobster and other sea crawfish, frozen"
"030612","Lobsters (Homarus) frozen"
"030613","Shrimps and prawns, frozen"
"030614","Crabs, frozen"
"030619","Crustaceans nes, frozen,"
"030621","Rock lobster and other sea crawfish not frozen"
"030622","Lobsters (Homarus), not frozen"
"030623","Shrimps and prawns, not frozen"
"030624","Crabs, not frozen"
"030629","Crustaceans nes, not frozen"
"030710","Oysters"
"030721","Scallops, live, fresh or chilled"
"030729","Scallops other than live, fresh or chilled"
"030731","Mussels, shelled or not, live, fresh or chilled"
"030739","Mussels, frozen, dried, salted or in brine"
"030741","Cuttle fish, squid, live, fresh or chilled"
"030749","Cuttle fish, squid, frozen, dried, salted or in brine"
"030751","Octopus, live, fresh or chilled"
"030759","Octopus, frozen, dried, salted or in brine"
"030760","Snails, edible (except sea snails)"
"030791","Aquatic invertebrates nes, fresh or chilled, live"
"030799","Aquatic invertebrates nes, frozen or preserved"
"040110","Milk not concentrated nor sweetened < 1% fat"
"040120","Milk not concentrated nor sweetened 1-6% fat"
"040130","Milk and cream not concentrated nor sweetened < 6% fa"
"040210","Milk powder < 1.5% fat"
"040221","Milk and cream powder unsweetened < 1.5% fat"
"040229","Milk and cream powder sweetened < 1.5% fat"
"040291","Milk and cream unsweetened, concentrated"
"040299","Milk and cream nes sweetened or concentrated"
"040310","Yogurt"
"040390","Buttermilk, curdled milk, cream, kephir, etc."
"040410","Whey"
"040490","Natural milk products nes"
"040500","Butter and other fats and oils derived from milk"
"040610","Fresh cheese, unfermented whey cheese, curd"
"040620","Cheese, grated or powdered, of all kinds"
"040630","Cheese processed, not grated or powdered"
"040640","Cheese, blue-veined"
"040690","Cheese except fresh, grated, processed or blue-veined"
"040700","Birds eggs, in shell, fresh, preserved or cooked"
"040811","Egg yolks dried"
"040819","Egg yolks except dried"
"040891","Eggs, bird, not in shell, dried"
"040899","Eggs, bird, not in shell not dried"
"040900","Honey, natural"
"041000","Edible products of animal origin nes"
"050100","Hair, human, unworked, waste of human hair"
"050210","Bristles, hair & waste thereof of pigs, hogs or boars"
"050290","Hair & waste of badger and of other brush making hair"
"050300","Horsehair, waste"
"050400","Guts, bladders and stomachs of animals except fish"
"050510","Feathers and down used for stuffing"
"050590","Feathers, down, etc. of birds, except for stuffing"
"050610","Ossein and bones treated with acid"
"050690","Bones and horn-cores unworked or simply worked nes"
"050710","Ivory, unworked or simply prepared, powder and waste"
"050790","Whalebone, horns, etc unworked or simply prepared nes"
"050800","Coral,seashell,cuttle bone,etc, unworked,powder,waste"
"050900","Sponges, natural, of animal origin"
"051000","Ambergris, civet, musk, etc for pharmaceutical use"
"051110","Semen bovine"
"051191","Fish, shellfish and crustaceans (non-food)"
"051199","Animal products and domestic animal carcass (non-food"
"060110","Bulbs, tubers, corms, crowns and rhizomes, dormant"
"060120","Bulbs, tubers, corms etc in growth, chicory plants"
"060210","Cuttings and slips, not rooted"
"060220","Trees, edible fruit or nut, shrubs and bushes"
"060230","Rhododendrons and azaleas"
"060240","Roses"
"060291","Mushroom spawn"
"060299","Plants, live (including their roots),nes"
"060310","Cut flowers and flower buds for bouquets, etc., fresh"
"060390","Cut flowers and flower buds for bouquets, dried, etc."
"060410","Mosses and lichens for bouquets, ornamental purposes"
"060491","Foliage,branches, for bouquets, etc. - fresh"
"060499","Foliage,branches, for bouquets, etc. - except fresh"
"070110","Potatoes seed, fresh or chilled"
"070190","Potatoes, fresh or chilled except seed"
"070200","Tomatoes, fresh or chilled"
"070310","Onions and shallots, fresh or chilled"
"070320","Garlic, fresh or chilled"
"070390","Leeks & other alliaceous vegetables, fresh or chilled"
"070410","Cauliflowers and headed broccoli, fresh or chilled"
"070420","Brussels sprouts, fresh or chilled"
"070490","Edible brassicas nes, fresh or chilled"
"070511","Cabbage lettuce (head lettuce) fresh or chilled"
"070519","Lettuce, fresh or chilled except cabbage lettuce"
"070521","Witloof chicory, fresh or chilled"
"070529","Chicory, fresh or chilled, except witloof"
"070610","Carrots and turnips, fresh or chilled"
"070690","Beetroot,salsify,celeriac,radishes etc. fresh, chille"
"070700","Cucumbers and gherkins, fresh or chilled"
"070810","Peas, shelled or unshelled, fresh or chilled"
"070820","Beans, shelled or unshelled, fresh or chilled"
"070890","Legumes except peas & beans, fresh or chilled"
"070910","Globe artichokes, fresh or chilled"
"070920","Asparagus, fresh or chilled"
"070930","Aubergines(egg-plants), fresh or chilled"
"070940","Celery, other than celeriac, fresh or chilled"
"070951","Mushrooms, fresh or chilled"
"070952","Truffles, fresh or chilled"
"070960","Peppers (Capsicum, Pimenta) fresh or chilled"
"070970","Spinach fresh or chilled"
"070990","Vegetables, fresh or chilled nes"
"071010","Potatoes, frozen, uncooked steamed or boiled"
"071021","Peas, frozen, uncooked steamed or boiled"
"071022","Beans, frozen, uncooked steamed or boiled"
"071029","Legumes, except peas and beans, frozen"
"071030","Spinach, frozen, uncooked steamed or boiled"
"071040","Sweet corn, frozen, uncooked steamed or boiled"
"071080","Vegetables, frozen nes, uncooked steamed or boiled"
"071090","Frozen vegetable mixtures, uncooked, boiled or steame"
"071110","Onions, provisionally preserved"
"071120","Olives, provisionally preserved"
"071130","Capers, provisionally preserved"
"071140","Cucumbers and gherkins provisionally preserved"
"071190","Vegetables nes and mixtures provisionally preserved"
"071210","Potatoes, dried, not further prepared"
"071220","Onions, dried, not further prepared"
"071230","Mushrooms and truffles, dried, not further prepared"
"071290","Vegetables nes & mixtures, dried, not further prepare"
"071310","Peas dried, shelled"
"071320","Chickpeas, dried, shelled"
"071331","Urd,mung,black or green gram beans dried shelled"
"071332","Beans, small red (Adzuki) dried, shelled"
"071333","Kidney beans and white pea beans dried shelled"
"071339","Beans dried, shelled, nes"
"071340","Lentils dried, shelled"
"071350","Broad beans and horse beans dried, shelled"
"071390","Leguminous vegetables dried, shelled"
"071410","Manioc (cassava), fresh or dried"
"071420","Sweet potatoes, fresh or dried"
"071490","Arrowroot, salep, etc fresh or dried and sago pith"
"080110","Coconuts, fresh or dried"
"080120","Brazil nuts, fresh or dried"
"080130","Cashew nuts, fresh or dried"
"080211","Almonds in shell fresh or dried"
"080212","Almonds,fresh or dried, shelled"
"080221","Hazelnuts and filberts in shell fresh or dried"
"080222","Hazelnuts and filberts, fresh or dried, shelled"
"080231","Walnuts in shell, fresh or dried"
"080232","Walnuts, fresh or dried, shelled"
"080240","Chestnuts, fresh or dried"
"080250","Pistachios, fresh or dried"
"080290","Nuts edible, fresh or dried, nes"
"080300","Bananas, including plantains, fresh or dried"
"080410","Dates, fresh or dried"
"080420","Figs, fresh or dried"
"080430","Pineapples, fresh or dried"
"080440","Avocados, fresh or dried"
"080450","Guavas, mangoes and mangosteens, fresh or dried"
"080510","Oranges, fresh or dried"
"080520","Mandarin, clementine & citrus hybrids, fresh or dried"
"080530","Lemons and limes, fresh or dried"
"080540","Grapefruit, fresh or dried"
"080590","Citrus fruits, fresh or dried, nes"
"080610","Grapes, fresh"
"080620","Grapes, dried"
"080710","Melons (including watermelons), fresh"
"080720","Papaws (papayas), fresh"
"080810","Apples, fresh"
"080820","Pears and quinces, fresh"
"080910","Apricots, fresh"
"080920","Cherries, fresh"
"080930","Peaches, nectarines, fresh"
"080940","Plums, sloes, fresh"
"081010","Strawberries, fresh"
"081020","Raspberry, blackberry, mulberry and loganberry, fresh"
"081030","Black, white or red currants and gooseberries, fresh"
"081040","Cranberries, bilberries, similar fruits, fresh"
"081090","Fruits, fresh nes"
"081110","Strawberries, (uncooked steamed or boiled), frozen"
"081120","Rasp-, mul-berries, etc (uncooked, steam, boil),froze"
"081190","Fruits and nuts (uncooked, steamed, boiled) frozen,ne"
"081210","Cherries provisionally preserved"
"081220","Strawberries provisionally preserved"
"081290","Fruits and nuts, provisionally preserved nes"
"081310","Apricots, dried"
"081320","Prunes, dried"
"081330","Apples, dried"
"081340","Fruits, dried nes"
"081350","Mixtures of edible nuts, dried and preserved fruits"
"081400","Peel of citrus fruit or melons"
"090111","Coffee, not roasted, not decaffeinated"
"090112","Coffee, not roasted, decaffeinated"
"090121","Coffee, roasted, not decaffeinated"
"090122","Coffee, roasted, decaffeinated"
"090130","Coffee husks and skins"
"090140","Coffee substitutes containing coffee"
"090210","Tea, green (unfermented) in packages < 3 kg"
"090220","Tea, green (unfermented) in packages > 3 kg"
"090230","Tea, black (fermented or partly) in packages < 3 kg"
"090240","Tea, black (fermented or partly) in packages > 3 kg"
"090300","Mate"
"090411","Pepper of the genus Piper, whole"
"090412","Pepper of the genus Piper, crushed or ground"
"090420","Capsicum or Pimenta, dried, crushed or ground"
"090500","Vanilla beans"
"090610","Cinnamon and cinnamon-tree flowers whole"
"090620","Cinnamon and cinnamon-tree flowers crushed or ground"
"090700","Cloves (whole fruit, cloves and stems)"
"090810","Nutmeg"
"090820","Mace"
"090830","Cardamoms"
"090910","Anise or badian seeds"
"090920","Coriander seeds"
"090930","Cumin seeds"
"090940","Caraway seeds"
"090950","Fennel seeds, juniper berries"
"091010","Ginger"
"091020","Saffron"
"091030","Turmeric (curcuma)"
"091040","Thyme and bay leaves"
"091050","Curry"
"091091","Mixtures of spices"
"091099","Spices nes"
"100110","Durum wheat"
"100190","Wheat except durum wheat, and meslin"
"100200","Rye"
"100300","Barley"
"100400","Oats"
"100510","Maize (corn) seed"
"100590","Maize except seed corn"
"100610","Rice in the husk (paddy or rough)"
"100620","Rice, husked (brown)"
"100630","Rice, semi-milled or wholly milled"
"100640","Rice, broken"
"100700","Grain sorghum"
"100810","Buckwheat"
"100820","Millet"
"100830","Canary seed"
"100890","Cereals unmilled nes"
"110100","Wheat or meslin flour"
"110210","Rye flour"
"110220","Maize (corn) flour"
"110230","Rice flour"
"110290","Cereal flour except wheat, meslin, rye, maize, rice"
"110311","Wheat meal"
"110312","Oat groats or meal"
"110313","Maize (corn) groats or meal"
"110314","Rice groats or meal"
"110319","Cereal groats or meal except wheat, maize, rice, oats"
"110321","Wheat pellets"
"110329","Cereal pellets except wheat"
"110411","Barley, rolled or flaked grains"
"110412","Oats, rolled or flaked grains"
"110419","Cereals, rolled or flaked grains nes"
"110421","Barley, hulled, pearled, sliced or kibbled"
"110422","Oats, hulled, pearled, sliced or kibbled"
"110423","Maize (corn), hulled, pearled, sliced or kibbled"
"110429","Cereals, hulled, pearled, sliced or kibbled nes"
"110430","Germ of cereals, whole, rolled, flaked or ground"
"110510","Potato flour or meal"
"110520","Potato flakes, granules and pellets"
"110610","Flour or meal of dried legumes"
"110620","Flour or meal of sago, starchy roots or tubers"
"110630","Flour, meal, powder of fruit/nut, citrus or melon pee"
"110710","Malt, not roasted"
"110720","Malt, roasted"
"110811","Wheat, starch"
"110812","Maize (corn) starch"
"110813","Potato starch"
"110814","Manioc (cassava) starch"
"110819","Starches except wheat, maize, potato, manioc"
"110820","Inulin"
"110900","Wheat gluten"
"120100","Soya beans"
"120210","Ground-nuts in shell not roasted or cooked"
"120220","Ground-nuts shelled, not roasted or cooked"
"120300","Copra"
"120400","Linseed"
"120500","Rape or colza seeds"
"120600","Sunflower seeds"
"120710","Palm nuts and kernels"
"120720","Cotton seeds"
"120730","Castor oil seeds"
"120740","Sesamum seeds"
"120750","Mustard seeds"
"120760","Safflower seeds"
"120791","Poppy seeds"
"120792","Shea nuts (karite nuts)"
"120799","Oil seeds and oleaginous fruits, nes"
"120810","Soya bean flour or meal"
"120890","Flour or meal of oil seed, fruit, except mustard, soy"
"120911","Seed, sugar beet, for sowing"
"120919","Seed, beet, except sugar, for sowing"
"120921","Seed, lucerne (alfalfa), for sowing"
"120922","Seed, clover, for sowing"
"120923","Seed, fescue, for sowing"
"120924","Seed, Kentucky blue grass, for sowing"
"120925","Seed, rye grass, for sowing"
"120926","Seed, Timothy grass, for sowing"
"120929","Seed, forage plants, for sowing nes"
"120930","Seed, flower, for sowing"
"120991","Seed, vegetable, nes for sowing"
"120999","Seed, fruits and spores for sowing, nes"
"121010","Hop cones, not ground, powdered or pelleted"
"121020","Hop cones, ground, powdered or pelleted and lupulin"
"121110","Liquorice roots"
"121120","Ginseng roots"
"121190","Plants & parts, pharmacy, perfume, insecticide use ne"
"121210","Locust beans, locust seeds"
"121220","Seaweeds and other algae,"
"121230","Apricot, peach and plum stones & kernels, human food"
"121291","Sugar beet"
"121292","Sugar cane"
"121299","Vegetable products nes for human consumption"
"121300","Cereal straw & husks, unprepared"
"121410","Lucerne (alfalfa) meal and pellets"
"121490","Other fodder and forage products, roots, etc."
"130110","Lac"
"130120","Gum arabic"
"130190","Natural gum, resin, gum-resin, balsam, not gum arabic"
"130211","Opium sap"
"130212","Liquorice extract"
"130213","Hop extract"
"130214","Pyrethrum, roots containing rotenone, extracts"
"130219","Vegetable saps and extracts nes"
"130220","Pectic substances, pectinates, pectates"
"130231","Agar-agar"
"130232","Mucilages & thickeners, from locust bean, guar seeds"
"130239","Mucilages and thickeners nes"
"140110","Bamboos used primarily for plaiting"
"140120","Rattan used primarily for plaiting"
"140190","Vegetable materials nes, used primarily for plaiting"
"140210","Kapok"
"140291","Vegetable hair used as stuffing or padding"
"140299","Vegetable material nes used as stuffing"
"140310","Broom corn used in brooms or brushes"
"140390","Vegetable material nes used in brooms or brushes"
"140410","Raw vegetable materials for dyeing or tanning"
"140420","Cotton linters"
"140490","Vegetable products nes"
"150100","Lard, other pig fat and poultry fat, rendered"
"150200","Bovine, sheep and goat fats, raw or rendered"
"150300","Lard stearin, oleostearin & oils, natural tallow oil"
"150410","Fish-liver oils, fractions, not chemically modified"
"150420","Fish oils except liver, not chemically modified"
"150430","Marine mammal fats, oils, etc. not chemically modifie"
"150510","Wool grease, crude"
"150590","Derivatives of wool grease (including lanolin)"
"250860","Mullite"
"250870","Chamotte or dinas earths"
"250900","Chalk"
"251010","Natural calcium phosphates, unground"
"251020","Natural calcium phosphates, ground"
"251110","Natural barium sulphate (barytes)"
"251120","Natural barium carbonate (witherite)"
"251200","Siliceous fossil meals and earths"
"251311","Pumice stones, crude or in irregular pieces"
"251319","Pumice stone, worked"
"251321","Emery & natural abrasives nes, crude, irregular piece"
"251329","Emery, natural corundum/garnet, including heat treate"
"251400","Slate"
"251511","Marble and travertine, crude or roughly trimmed"
"251512","Marble and travertine in blocks etc."
"251520","Ecaussine, calcareous building stone nes, alabaster"
"251611","Granite, crude or roughly trimmed"
"251612","Granite, merely cut into blocks etc"
"251621","Sandstone, crude or roughly trimmed"
"251622","Sandstone, merely cut into blocks etc"
"251690","Monumental or building stone nes, porphyry and basalt"
"251710","Pebbles, gravel, broken & crushed stone for aggregate"
"251720","Macadam of slag, dross or similar industrial waste"
"251730","Tarred macadam"
"251741","Marble granules, chipping and powder"
"251749","Granules, chippings, powder of granite,sandstone,etc"
"251810","Dolomite not calcined"
"251820","Calcined dolomite"
"251830","Agglomerated dolomite (including tarred dolomite)"
"251910","Natural magnesium carbonate (magnesite)"
"251990","Magnesia, fused, dead-burned etc and magnesium oxide"
"252010","Gypsum, anhydride"
"252020","Plasters (calcined gypsum or calcium sulphate) etc"
"252100","Limestone materials for manufacture of lime or cement"
"252210","Quicklime"
"252220","Slaked lime"
"252230","Hydraulic lime"
"252310","Cement clinkers"
"252321","Portland cement, white or white artificially coloured"
"252329","Portland cement, other than white cement"
"252330","Aluminous cement"
"252390","Hydraulic cements except portland or aluminous"
"360410","Fireworks"
"360490","Signalling flares, fog signals, other pyrotechnics"
"360500","Matches"
"360610","Lighter refill fuels (pack < 300 cc)"
"360690","Pyrophoric alloys, firelighters, etc"
"370110","X-ray plates and films"
"370120","Photographic instant print film in the flat"
"370130","Photo plates & film in the flat, nes, any side >255mm"
"370191","Photographic plates and film in the flat, colour"
"370199","Photographic plates, film in the flat, nes"
"370210","Photographic film, rolls, for x-ray"
"370220","Instant print film, rolls"
"370231","Colour photo film, rolls, width <105mm"
"370232","Silver halide photo film, rolls, width <105mm"
"370239","Photo film nes, rolls, width < 105mm"
"370241","Colour film in rolls, width >610mm, length > 200m"
"370242","Film, rolls, except colour, width >610mm, length >200"
"370243","Film in rolls, width >610mm, length <200 m, nes"
"370244","Film in rolls, width 105-610 mm nes"
"370251","Film, colour photo, rolls, width <16mm, <14 m long,ne"
"370252","Film, colour photo, rolls, width <16mm, >14 m long,ne"
"370253","Film, colour slide, rolls width 16-35mm, <30m long"
"370254","Film, colour photo nes, rolls width 16-35mm,<30m long"
"370255","Film for colour photo, rolls width 16-35mm, >30m long"
"370256","Photographic film in rolls, colour, width >35 mm, nes"
"370291","Photo film in rolls, width <16 mm, <14m long, nes"
"370292","Photo film in rolls, width <16 mm, >14m long, nes"
"370293","Photo film in rolls, width 16-35mm, <30m long, nes"
"370294","Photo film in rolls, width 16-35mm, >30m long, nes"
"370295","Photographic film, rolls, of a width <= 35 mm, nes"
"370310","Unexposed photographic paper,textile roll > 610mm wid"
"370320","Unexposed colour photograhic paper, board or textile"
"370390","Unexposed photographic paper, board or textile nes"
"370400","Photographic plate, film, paper, exposed, undeveloped"
"370510","Photo plates and film, exposed & developed, for offse"
"370520","Microfilms exposed and developed"
"370590","Photographic plates or film, exposed or developed nes"
"370610","Cinematograph film, exposed and developed, width >35m"
"370690","Cinematograph film, exposed & developed, width <=35mm"
"370710","Sensitising emulsions"
"370790","Chemical preparations for photographic uses, nes"
"380110","Artificial graphite"
"380120","Colloidal or semi-colloidal graphite"
"380130","Carbonaceous pastes for electrodes, furnace linings"
"380190","Graphite based products nes"
"590700","Textile fabric treated for theatrical backdrops etc"
"590800","Textile wicks, gas mantles"
"590900","Textile hosepiping and similar textile tubing"
"591000","Transmission or conveyor belts or belting of textile"
"591110","Textile fabric for card clothing, technical use"
"591120","Textile bolting cloth, whether or not made up"
"591131","Textile fabric used in paper-making etc, <650 g/m2"
"591132","Textile fabric used in paper-making etc, >650 g/m2"
"591140","Textile straining cloth used in oil presses etc"
"591190","Textile products and articles for technical uses, nes"
"600110","""Long pile"" knit or crochet textile fabric"
"600121","Looped pile knit or crochet fabric, of cotton"
"600122","Looped pile knit or crochet fabric, of manmade fibres"
"600129","Loop pile knit/crochet fabric, natural yarn not cotto"
"600191","Pile knit or crochet fabric, of cotton, nes"
"600192","Pile knit or crochet fabric, of manmade fibres, nes"
"600199","Pile knit, crochet fabric, natural yarn not cotton ne"
"600210","Knit or crochet fabric, width <30 cm, >5% elastomer"
"600220","Knit, crochet textile fabric, of a width < 30 cm, nes"
"600230","Knit or crochet fabric, width > 30 cm, >5% elastomer"
"600241","Warp knit fabric of wool or fine animal hair, nes"
"600242","Warp knit fabric of cotton, nes"
"600243","Warp knit fabric of manmade fibres, nes"
"600249","Warp knit fabric of other materials, nes"
"600291","Knit, crochet fabric of wool or fine animal hair, nes"
"600292","Knit or crochet fabric of cotton, nes"
"600293","Knit or crochet fabric of manmade fibres, nes"
"600299","Knit or crochet fabric of other materials, nes"
"610110","Mens, boys overcoats, etc, of wool or hair, knit"
"610120","Mens, boys overcoats, etc, of cotton, knit"
"610130","Mens, boys overcoats, etc, of manmade fibres, knit"
"610190","Mens, boys overcoats, etc, of material nes, knit"
"610210","Womens, girls overcoats, etc, of wool or hair, knit"
"610220","Womens, girls overcoats, etc, of cotton, knit"
"610230","Womens, girls overcoats, etc, manmade fibres, knit"
"610290","Womens, girls overcoats, etc, material nes, knit"
"610311","Mens, boys suits, of wool, fine animal hair, knit"
"610312","Mens, boys suits, synthetic fibres, knit"
"610319","Mens, boys suits, of materials nes, knit"
"610321","Mens, boys ensembles, of wool animal hair, knit"
"610322","Mens, boys ensembles, of cotton, knit"
"610323","Mens, boys ensembles, synthetic fibres, knit"
"610329","Mens, boys ensembles, of material nes, knit"
"610331","Mens, boys jackets & blazers, wool or hair, knit"
"610332","Mens, boys jackets & blazers, cotton, knit"
"940210","Dentists, barbers or similar chairs and parts"
"940290","Medical, dental, surgical & veterinary furniture, nes"
"940310","Office furniture, metal, nes"
"940320","Furniture, metal, nes"
"940330","Office furniture, wooden, nes"
"940340","Kitchen furniture, wooden, nes"
"940350","Bedroom furniture, wooden, nes"
"940360","Furniture, wooden, nes"
"940370","Furniture, plastic, nes"
"940380","Furniture of cane, materials nes"
"940390","Furniture parts nes"
"940410","Mattress supports"
"940421","Mattresses of cellular rubber or plastic"
"940429","Mattresses, stuffed, spring interior, etc"
"940430","Sleeping bags"
"940490","Articles of bedding nes"
"940510","Chandeliers, other electric ceiling or wall lights"
"940520","Electric table, desk, bedside and floor lamps"
"940530","Lighting sets of a kind used for Christmas trees"
"940540","Electric lamps, lighting fittings, nes"
"940550","Non-electrical lamps and lighting fittings"
"940560","Illuminated signs, illuminated nameplates etc"
"940591","Lamp and lighting fitting parts of glass"
"940592","Lamp and lighting fitting parts of plastics"
"940599","Lamp and lighting fitting parts except glass/plastic"
"940600","Prefabricated buildings"
"950100","Rideable wheeled toys, dolls carriages"
"950210","Dolls representing only human beings"
"950291","Garments, accessories for dolls representing humans"
"950299","Parts nes, for dolls representing only human beings"
"950310","Electric trains, train sets, etc"
"950320","Reduced-size (scale) models, kits, except trains"
"950330","Construction sets and constructional toys, nes"
"950341","Stuffed toys - animals or non-human creatures"
"950349","Toys nes representing animals/non-humans"
"950350","Toy musical instruments, apparatus"
"950360","Puzzles"
"950370","Toys, retail in sets or outfits"
"950380","Toys and models incorporating a motor"
"950390","Toys nes"
"950410","Video games used with a television receiver"
"950420","Articles and accessories for billiards"
"950430","Games, coin or disc operated"
"150600","Animal fats,oils,fractions not chemically modified ne"
"150710","Soya-bean oil crude, whether or not degummed"
"150790","Refined soya-bean oil, not chemically modified"
"150810","Ground-nut oil, crude"
"150890","Refined ground-nut oil not chemically modified"
"150910","Olive oil, virgin"
"150990","Olive oil, fractions, refined, not chemically modifie"
"151000","Olive oil, fractions, blends, not chemically modified"
"151110","Palm oil, crude"
"151190","Palm oil or fractions simply refined"
"151211","Sunflower-seed or safflower oil, crude"
