HS96;lib
060120;"Bulbs, Tubers, Tuberous Roots, Corms, Crowns And Rhizomes, Dormant, In Growth Or Flower; Chickory Plants And Roots N.E.S.,"
060210;"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
060220;"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
060230;"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
060240;"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
060290;"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
060310;Cut Flowers And Flower Buds Suitable For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Bleached, Impregnated Or Otherwise Prepared
060390;Cut Flowers And Flower Buds Suitable For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Bleached, Impregnated Or Otherwise Prepared
060410;Foliage And Other Parts Of Plants (Without Flowers Or Flower Buds), Grasses, Mosses, Etc. For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Etc.
060491;Foliage And Other Parts Of Plants (Without Flowers Or Flower Buds), Grasses, Mosses, Etc. For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Etc.
060499;Foliage And Other Parts Of Plants (Without Flowers Or Flower Buds), Grasses, Mosses, Etc. For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Etc.
070110;Potatoes, Fresh Or Chilled (Not Including Sweet Potatoes)
070190;Potatoes, Fresh Or Chilled (Not Including Sweet Potatoes)
070200;Tomatoes, Fresh Or Chilled
070310;Onions And Shallots, Fresh Or Chilled
070320;Garlic, Leeks And Other Alliaceous Vegetables, Fresh Or Chilled
070390;Garlic, Leeks And Other Alliaceous Vegetables, Fresh Or Chilled
070410;Cabbage And Similar Edible Brassicas, Fresh Or Chilled
070420;Cabbage And Similar Edible Brassicas, Fresh Or Chilled
070490;Cabbage And Similar Edible Brassicas, Fresh Or Chilled
070511;Lettuce And Chicory (Including Endive), Fresh Or Chilled
070519;Lettuce And Chicory (Including Endive), Fresh Or Chilled
070521;Lettuce And Chicory (Including Endive), Fresh Or Chilled
070529;Lettuce And Chicory (Including Endive), Fresh Or Chilled
070610;Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes And Similar Edible Roots, Fresh Or Chilled
070690;Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes And Similar Edible Roots, Fresh Or Chilled
070700;Cucumbers And Gherkins, Fresh Or Chilled
070810;Leguminous Vegetables, Fresh Or Chilled
070820;Leguminous Vegetables, Fresh Or Chilled
070890;Leguminous Vegetables, Fresh Or Chilled
070910;Vegetables, N.E.S. Fresh Or Chilled
070920;Vegetables, N.E.S. Fresh Or Chilled
070930;Vegetables, N.E.S. Fresh Or Chilled
070940;Vegetables, N.E.S. Fresh Or Chilled
070951;Mushrooms And Truffles, Fresh Or Chilled
070952;Mushrooms And Truffles, Fresh Or Chilled
070960;Vegetables, N.E.S. Fresh Or Chilled
070970;Vegetables, N.E.S. Fresh Or Chilled
070990;Vegetables, N.E.S. Fresh Or Chilled
071010;Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071021;Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071022;Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071029;Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071030;Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071040;Sweet Corn (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071080;Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071090;Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen
071110;Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat
071120;Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat
071130;Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat
071140;Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat
071190;Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat
071220;Onions, Dried
071230;Mushrooms And Truffles, Dried
071290;Vegetables N.E.S., Dried, And Mixtures Of Vegetables, Dried (Whole, Cut, Sliced, Etc.), But Not Further Prepared
071310;Peas, Dried, Shelled
071320;Chickpeas, Dried, Shelled
071331;Beans, Other Than Broad Beans And Horse Beans, Dried, Shelled
071332;Beans, Other Than Broad Beans And Horse Beans, Dried, Shelled
071333;Beans, Other Than Broad Beans And Horse Beans, Dried, Shelled
071339;Beans, Other Than Broad Beans And Horse Beans, Dried, Shelled
071340;Lentils, Dried, Shelled
071350;Broad Beans And Horse Beans, Dried, Shelled
071390;Beans, N.E.S., Dried, Shelled, Whether Or Not Skinned Or Split
071410;Manioc (Cassava), Fresh Or Dried, Whether Or Not Sliced Or In The Form Of Pellets
0'71420;"Arrowroot, Salep, Jerusalem Artichokes, Sweet Potatoes, Roots And Tubers With High Starch Or Inulin, Fresh Or Dried, Sliced, Etc. Or Not; Sago Pith"
071490;"Arrowroot, Salep, Jerusalem Artichokes, Sweet Potatoes, Roots And Tubers With High Starch Or Inulin, Fresh Or Dried, Sliced, Etc. Or Not; Sago Pith"
080111;Coconuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080119;Coconuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080121;Brazil Nuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080122;Brazil Nuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080131;Cashew Nuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080132;Cashew Nuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080211;Almonds, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080212;Almonds, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080221;Hazelnuts Or Filberts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080222;Hazelnuts Or Filberts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080231;Walnuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080232;Walnuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080240;Chestnuts, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080250;Pistachios, Fresh Or Dried, Whether Or Not Shelled Or Peeled
080290;Edible Nuts (Excluding Mixtures), Fresh Or Dried, N.E.S., Whether Or Not Shelled Or Peeled
080300;Bananas (Including Plantains), Fresh Or Dried
080410;Dates, Fresh Or Dried
080420;Figs, Fresh Or Dried
080430;Pineapples, Fresh Or Dried
080440;Avocados, Guavas, Mangoes And Mangosteens, Fresh Or Dried
080450;Avocados, Guavas, Mangoes And Mangosteens, Fresh Or Dried
080510;Oranges, Fresh Or Dried
080520;Mandarins (Including Tangerines And Satsumas), Clementines, Wilkings And Similar Citrus Hybrids, Fresh Or Dried
080530;Lemons And Limes, Fresh Or Dried
080540;Grapefruit, Fresh Or Dried
080590;Citrus Fruit, N.E.S., Fresh Or Dried
080610;Grapes, Fresh
080620;Grapes, Dried (E.G., Raisins)
080711;Melons (Including Watermelons) And Papaws (Papayas), Fresh
080719;Melons (Including Watermelons) And Papaws (Papayas), Fresh
080720;Melons (Including Watermelons) And Papaws (Papayas), Fresh
080810;Apples, Fresh
080820;Pears And Quinces, Fresh
080910;Stone Fruit, N.E.S., Fresh
080920;Stone Fruit, N.E.S., Fresh
080930;Stone Fruit, N.E.S., Fresh
080940;Stone Fruit, N.E.S., Fresh
081010;Berries, Fresh
081020;Berries, Fresh
081030;Berries, Fresh
081040;Berries, Fresh
081050;Fruit, Fresh, N.E.S.
081090;Fruit, Fresh, N.E.S.
081110;Strawberries, Uncooked Or Cooked By Steaming Or Boiling In Water, Frozen, Whether Or Not Containing Other Sweetening Matter
081120;Raspberries, Blackberries, Mulberries, Loganberries, Black, White Or Red Currents And Gooseberries, Frozen, With Or Without Added Sweetening Matter
081190;Fruit N.E.S. And Nuts, Uncooked Or Cooked By Steaming Or Boiling Water, Frozen, Whether Or Not Containing Added Sugar Or Other Sweeting Matter
081210;Fruit And Nuts Provisionally Preservd (By Sulphur Dioxide Gas, In Brine, Sulphur Water Or Oth Preservative Solutions), Unsuitable F Immediate Consum
081220;Fruit And Nuts Provisionally Preservd (By Sulphur Dioxide Gas, In Brine, Sulphur Water Or Oth Preservative Solutions), Unsuitable F Immediate Consum
081290;Fruit And Nuts Provisionally Preservd (By Sulphur Dioxide Gas, In Brine, Sulphur Water Or Oth Preservative Solutions), Unsuitable F Immediate Consum
081310;Fruit, Dried, N.E.S., And Mixtures, N.E.S., Of Nuts (Not Including Oil Nuts) Or Dried Fruit
081320;Fruit, Dried, N.E.S., And Mixtures, N.E.S., Of Nuts (Not Including Oil Nuts) Or Dried Fruit
081330;Fruit, Dried, N.E.S., And Mixtures, N.E.S., Of Nuts (Not Including Oil Nuts) Or Dried Fruit
081340;Fruit, Dried, N.E.S., And Mixtures, N.E.S., Of Nuts (Not Including Oil Nuts) Or Dried Fruit
081350;Fruit, Dried, N.E.S., And Mixtures, N.E.S., Of Nuts (Not Including Oil Nuts) Or Dried Fruit
081400;Peel Of Citrus Fruit Or Melons, Fresh, Frozen, Dried Or Provisionally Preserved In Brine, In Sulphur Water Or Other Preservative Solutions
090111;Coffee, Not Roasted, Not Decaffeinated
090112;Coffee, Not Roasted, Decaffeinated
090121;Coffee, Roasted
090122;Coffee, Roasted
090190;Coffee Substitutes Containing Coffee In Any Proportion
090210;Green Tea (Not Fermented) In Immediate Packings Of A Content Not Exceeding 3 Kg, Whether Or Not Flavored
090220;Other Green Tea (Not Fermented), Whether Or Not Flavored
090230;Black Tea (Fermented) And Partly Fermented Tea, In Immediate Packings Of A Content Not Exceeding 3 Kg, Whether Or Not Flavored
090240;Other Black Tea (Fermented) And Other Partly Fermented Tea, Whether Or Not Flavored
090300;Mate
090411;Pepper, Neither Crushed Nor Ground
090412;Pepper, Crushed Or Ground
090500;Vanilla (Beans)
090610;Cinnamon And Cinnamon
090620;Cinnamon And Cinnamon
090700;Cloves (Whole Fruit, Cloves And Stems)
090810;Nutmeg, Mace And Cardamons
090820;Nutmeg, Mace And Cardamons
090830;Nutmeg, Mace And Cardamons
090910;"Seeds Of Anise, Badian, Fennel, Coriander, Cumin Or Caraway; Juniper Berries"
090920;"Seeds Of Anise, Badian, Fennel, Coriander, Cumin Or Caraway; Juniper Berries"
090930;"Seeds Of Anise, Badian, Fennel, Coriander, Cumin Or Caraway; Juniper Berries"
090940;"Seeds Of Anise, Badian, Fennel, Coriander, Cumin Or Caraway; Juniper Berries"
090950;"Seeds Of Anise, Badian, Fennel, Coriander, Cumin Or Caraway; Juniper Berries"
091010;Ginger (Excluding Ginger Preserved In Sugar Or Conserved In Syrup)
091020;Thyme, Saffron And Bay Leaves
091030;"Spices, N.E.S.; Mixtures Of Two Or More Spices Of Different Headings Of Group 075"
091040;Thyme, Saffron And Bay Leaves
091050;"Spices, N.E.S.; Mixtures Of Two Or More Spices Of Different Headings Of Group 075"
091091;"Spices, N.E.S.; Mixtures Of Two Or More Spices Of Different Headings Of Group 075"
091099;"Spices, N.E.S.; Mixtures Of Two Or More Spices Of Different Headings Of Group 075"
100110;Durum Wheat, Unmilled
100190;Wheat (Including Spelt) And Meslin, Unmilled, N.E.S.
100200;Rye, Unmilled
100300;Barley, Unmilled
100400;Oats, Unmilled
100510;Maize (Corn) Seed
100590;Maize (Not Including Sweet Corn) Unmilled, Except Seed
100610;Rice In The Husk (Paddy Or Rough Rice)
100620;Rice Husked But Not Further Prepared (Cargo Rice Or BrownRice Husked Not Further Prep (Cargo Or Brown Rice)
100630;Rice, Semi
100640;Rice, Broken
100700;Grain Sorghum, Unmilled
100810;Buckwheat, Unmilled
100820;Millet, Unmilled
100830;Canary Seed, Unmilled
100890;Cereals, Unmilled, N.E.S.
110100;Flour Of Wheat Or Of Meslin
110210;Cereal Flours (Except Of Wheat, Meslin And Maize)
110220;Maize (Corn) Flour
110230;Cereal Flours (Except Of Wheat, Meslin And Maize)
110290;Cereal Flours (Except Of Wheat, Meslin And Maize)
110311;Groats, Meal And Pellets, Of Wheat
110312;Groats And Meal Of Other Cereals (Except Wheat And Corn)
110313;Groats And Meal Of Maize (Corn)
110314;Groats And Meal Of Other Cereals (Except Wheat And Corn)
110319;Groats And Meal Of Other Cereals (Except Wheat And Corn)
110321;Groats, Meal And Pellets, Of Wheat
110329;Pellets Of Cereal Other Than Wheat
110411;Rolled Or Flaked Cereal Grains, N.E.S., Except Semi
110412;Rolled Or Flaked Cereal Grains, N.E.S., Except Semi
110419;Rolled Or Flaked Cereal Grains, N.E.S., Except Semi
110421;Worked Cereal Grains N.E.S. (E.G. Hulled, Pearled, Clipped, Sliced Or Kibbled), Except Semi
110422;Worked Cereal Grains N.E.S. (E.G. Hulled, Pearled, Clipped, Sliced Or Kibbled), Except Semi
110423;Worked Cereal Grains N.E.S. (E.G. Hulled, Pearled, Clipped, Sliced Or Kibbled), Except Semi
